gene,Uniprot entry,Protein.names,Aliases,localization,cells,cells.1,cells.2,cells.3,cells.4,cells.5,cells.6,cells.7,cells.8,cells.9,cells.10,cells.11,cells.12,cells.13,cells.14,cells.15,cells.16
TEK,Q02763,Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b),TEK TIE2 VMCM VMCM1 CD202B,extracellular,endothelial cells,,,,,,,,,,,,,,,,
TGFB1,P01137,Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)],TGFB1 TGFB LAP,extracellular,Treg,platelet,,,,,,,,,,,,,,,
TGFB1,P01137,Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)],TGFB1 TGFB TGFB,secreted,M2c,PMN MDSC,Treg,M2a,m2c microglia,M2,mast cell,,,,,,,,,,
TGFBR1,P36897,TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I),TGFBR1 ALK5 SKR4 TGFBRI,extracellular,ILCreg,,,,,,,,,,,,,,,,
TGFBR2,P37173,TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II),TGFBR2 TGFBRII,extracellular,Th9,Th17,Th22,ILCreg,,,,,,,,,,,,,
THBD,P07204,Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141),THBD THRM CD141,extracellular,classical DC,dermal DC,,,,,,,,,,,,,,,
THY1,P04216,Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90),THY1 CD90,extracellular,HSC,ILC2,NCR+ ILC3,NCR-ILC3,LTI,neuron,,,,,,,,,,,
TNFRSF13B,O14836,Tumor necrosis factor receptor superfamily member 13B (Transmembrane activator and CAML interactor) (CD antigen CD267),TNFRSF13B TACI TACI,extracellular,follicular B,Marginal Zone B,memory B,,,,,,,,,,,,,,
TNFRSF13C,Q96RJ3,Tumor necrosis factor receptor superfamily member 13C (B-cell-activating factor receptor) (BAFF receptor) (BAFF-R) (BLyS receptor 3) (CD antigen CD268),TNFRSF13C BAFFR BR3 BAFFR,extracellular,Marginal Zone B,,,,,,,,,,,,,,,,
TNFRSF13C,Q96RJ3,Tumor necrosis factor receptor superfamily member 13C (B-cell-activating factor receptor) (BAFF receptor) (BAFF-R) (BLyS receptor 3) (CD antigen CD268),TNFRSF13C BAFFR BR3 CD268,extracellular,Marginal Zone B,,,,,,,,,,,,,,,,
TNFRSF17,Q02223,Tumor necrosis factor receptor superfamily member 17 (B-cell maturation protein) (CD antigen CD269),TNFRSF17 BCM BCMA CD269,extracellular,plasma B,,,,,,,,,,,,,,,,
TNFRSF18,Q9Y5U5,Tumor necrosis factor receptor superfamily member 18 (Activation-inducible TNFR family receptor) (Glucocorticoid-induced TNFR-related protein) (CD antigen CD357),TNFRSF18 AITR GITR UNQ319/PRO364 GITR,extracellular,Treg,,,,,,,,,,,,,,,,
TNFRSF1A,P19438,"Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]",TNFRSF1A TNFAR TNFR1 TNFRI,extracellular,Th22,,,,,,,,,,,,,,,,
TNFRSF4,P43489,Tumor necrosis factor receptor superfamily member 4 (ACT35 antigen) (OX40L receptor) (TAX transcriptionally-activated glycoprotein 1 receptor) (CD antigen CD134),TNFRSF4 TXGP1L CD134,extracellular,effector CD8 T,Treg,follicular Th,,,,,,,,,,,,,,
TNFRSF8,P28908,Tumor necrosis factor receptor superfamily member 8 (CD30L receptor) (Ki-1 antigen) (Lymphocyte activation antigen CD30) (CD antigen CD30),TNFRSF8 CD30 D1S166E CD30,extracellular,Marginal Zone B,effector CD8 T,,,,,,,,,,,,,,,
TNFRSF9,Q07011,Tumor necrosis factor receptor superfamily member 9 (4-1BB ligand receptor) (CDw137) (T-cell antigen 4-1BB homolog) (T-cell antigen ILA) (CD antigen CD137),TNFRSF9 CD137 ILA CD137,extracellular,Treg,effector CD8 T,follicular B,,,,,,,,,,,,,,
TNFSF11,O14788,"Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]",TNFSF11 OPGL RANKL TRANCE RANKL,extracellular,Th1,,,,,,,,,,,,,,,,
TNFSF18,Q9UNG2,Tumor necrosis factor ligand superfamily member 18 (Activation-inducible TNF-related ligand) (AITRL) (Glucocorticoid-induced TNF-related ligand) (hGITRL),TNFSF18 AITRL GITRL TL6 UNQ149/PRO175 GITRL,extracellular,macrophage,,,,,,,,,,,,,,,,
TNFSF4,P23510,Tumor necrosis factor ligand superfamily member 4 (Glycoprotein Gp34) (OX40 ligand) (OX40L) (TAX transcriptionally-activated glycoprotein 1) (CD antigen CD252),TNFSF4 TXGP1 CD252,extracellular,plasma B,LTI,,,,,,,,,,,,,,,
TREM1,Q9NP99,Triggering receptor expressed on myeloid cells 1 (TREM-1) (Triggering receptor expressed on monocytes 1) (CD antigen CD354),TREM1 CD354,extracellular,macrophage pan,,,,,,,,,,,,,,,,
VCAM1,P19320,Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (INCAM-100) (CD antigen CD106),VCAM1 CD106,extracellular,endothelial cells,,,,,,,,,,,,,,,,
VEGFA,P15692,Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF),VEGFA VEGF VEGF,secreted,PMN MDSC,,,,,,,,,,,,,,,,
VIM,P08670,Vimentin,VIM VIMENTIN,extracellular,fibroblast,,,,,,,,,,,,,,,,
VPS54,Q9P1Q0,Vacuolar protein sorting-associated protein 54 (Hepatocellular carcinoma protein 8) (Tumor antigen HOM-HCC-8) (Tumor antigen SLP-8p),VPS54 HCC8 GARP,extracellular,platelet,Treg,,,,,,,,,,,,,,,
XBP1,P17861,"X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]",XBP1 TREB5 XBP2 XBP,intracellular,plasma B,,,,,,,,,,,,,,,,
ZBTB16,Q05516,Zinc finger and BTB domain-containing protein 16 (Promyelocytic leukemia zinc finger protein) (Zinc finger protein 145) (Zinc finger protein PLZF),ZBTB16 PLZF ZNF145 PLZF,intracellular,NKT,,,,,,,,,,,,,,,,
CYP2D7 ,A0A087X1C5,Putative cytochrome P450 2D7,CYP2D7 2D7,intracellular,basophil,,,,,,,,,,,,,,,,
FCGR3a,P08637,"Low affinity immunoglobulin gamma Fc region receptor III-A (CD16a antigen) (Fc-gamma RIII-alpha, Fc-gamma RIII, Fc-gamma RIIIa, FcRIII, FcRIIIa) (FcR-10) (IgG Fc receptor III-2) (CD antigen CD16a)","FCGR3A CD16A, FCG3, FCGR3, IGFR3",extracellular,nonclassical monocyte,intermediate monocyte,classical monocyte,macrophage,m2b microglia,neutrophil,NK,macrophage,m1 microglia,basophil,M1,yd T ,,,,,
IFNA1,P01562,"Interferon alpha-1/13, IFN-alpha-1/13 (Interferon alpha-D, LeIF D)",IFNA1 IFNA13,secreted,pDC,Th1,effector CD8 T,M1,NK,ILC1,effector memory CD8 T,yd T ,,,,,,,,,
RORC ,P51449,Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma),"RORC NR1F3, RORG, RZRG",intracellular,Th17,NCR+ ILC3,NCR-ILC3,LTI,ILC3,,,,,,,,,,,,
TNFA,P01375,"Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2, TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment, NTF) ; Intracellular domain 1, ICD1; Intracellular domain 2, ICD2; C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]","TNF TNFA, TNFSF2",secreted,Th1,effector CD8 T,mast cell,neutrophil,M1,NK,effector memory CD8 T,NKT,central memory CD8 T,yd T ,m1 microglia,M2b,pDC,M1,LTI,inflammatory DC,
